pert_id,comb_class,p100_class,gcp_class
DMSO,1,1,1
BRD-A14634327,1,1,5
BRD-K77908580,2,1,6
BRD-K94294671,3,2,7
BRD-K36363294,4,3,7
BRD-K57754230,1,1,5
BRD-K52313696,4,1,2
BRD-K80738081,5,4,8
BRD-K08109215,4,3,7
BRD-A48881734,1,1,5
BRD-A19037878,2,5,3
BRD-K76964878,1,6,1
BRD-K54606188,4,3,7
BRD-K87465484,1,1,1
BRD-K17743125,6,5,9
BRD-A67788537,1,6,1
BRD-K87714311,1,1,7
BRD-K74236984,1,1,1
BRD-K52560704,1,1,7
BRD-K11528507,7,2,10
BRD-K79254416,1,1,11
BRD-K26863634,1,1,7
BRD-K98203492,1,6,1
BRD-A79768653,3,2,7
BRD-A69563582,1,7,7
BRD-K26818574,1,1,7
BRD-K83189926,1,6,7
BRD-K17953061,8,8,12
BRD-A65730376,1,7,1
BRD-K81418486,2,5,6
BRD-K90860366,1,6,1
BRD-K27305650,3,2,7
BRD-K64634304,1,6,11
BRD-A81177136,1,1,11
BRD-K87737963,1,7,11
BRD-K37798499,5,9,8
BRD-K74148702,1,6,1
BRD-A72575012,1,1,1
BRD-K97118047,1,10,1
BRD-K25311561,3,2,7
BRD-K65592642,1,6,1
BRD-K68548958,9,11,13
BRD-K07691486,10,5,7
BRD-K92960067,11,12,13
BRD-A35108200,1,6,7
BRD-A55453956,1,1,1
BRD-A34255068,10,10,1
BRD-K53972329,1,6,7
BRD-K02113016,1,6,7
BRD-K93480852,1,1,11
BRD-K61688984,10,10,2
BRD-K35960502,12,13,14
BRD-K86787118,4,6,15
BRD-K06692906,1,1,7
BRD-K16761703,10,10,7
BRD-K31406481,1,6,7
BRD-K65716359,1,1,7
BRD-K92123432,10,5,7
BRD-K69608737,1,7,7
BRD-K16189898,13,10,7
BRD-K36234266,2,1,NA
BRD-A39210489,13,1,NA
BRD-K43389675,14,14,NA
BRD-K18518344,4,3,NA
BRD-K18619710,4,3,NA
BRD-K23478508,4,3,NA
BRD-K92093830,14,14,NA
BRD-A90490067,13,1,NA
BRD-K49519136,15,15,NA
BRD-A55756846,1,6,NA
BRD-K08547377,1,2,NA
BRD-K36760124,4,3,NA
BRD-K28849549,13,1,NA
BRD-K22503835,13,1,NA
BRD-K82261406,16,16,NA
